id_oglasa,naslov,tip_nepremicnine,stevilo_sob_opis,stevilo_sob,cena,valuta,m2,leto_gradnje,nadstropje,opis_kratek,url_oglasa
7368200,"SREDNJE GAMELJNE, MERCATOR SR.",Stanovanje,"3,5-sobno",3.5,1500.0,EUR,74.66,2026,2/2,"74,66 m2, 3,5-sobno, zgrajeno l. 2026, 2/2 nad., Luksuzno novo 3,5-sobno stanovanje z dvigalom, 2 parkirnima mestoma in ...",https://www.nepremicnine.net/oglasi-oddaja/srednje-gameljne-mercator-sr-stanovanje_7368200/
7404469,SREDNJE JARŠE,Stanovanje,Garsonjera,,550.0,EUR,22.1,2006,PK,"22,1 m2, garsonjera, zgrajena l. 2006, polklet, oddamo. Cena: 550,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/srednje-jarse-stanovanje_7404469/
7386498,"SRGAŠI, 26",Stanovanje,"1,5-sobno",1.5,1000.0,EUR,85.0,2015,P/P,"85 m2, 1,5-sobno, adaptirano l. 2015, adaptirano l. 2015, 200 m2 zemljišča, P/P, Oddamo od 1.10.2026 do 1.6.2027Cena je ...",https://www.nepremicnine.net/oglasi-oddaja/srgasi-26-stanovanje_7386498/
7395913,STANEŽIČE,Stanovanje,2-sobno,2.0,850.0,EUR,51.0,2003,P,"51 m2, 2-sobno, zgrajeno l. 2003, 15 m2 zemljišča, pritličje, mirna in zelena lokacija, neposredna bližina avtobusne pos...",https://www.nepremicnine.net/oglasi-oddaja/stanezice-stanovanje_7395913/
6937323,STARA LJ.,Stanovanje,Garsonjera,,950.0,EUR,25.0,1902,,"25 m2, garsonjera, zgrajena l. 1902, adaptirana l. 2025, oddamo. Cena: 950,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/stara-lj-stanovanje_6937323/
6937335,STARA LJ.,Stanovanje,2-sobno,2.0,1150.0,EUR,47.0,1902,,"47 m2, 2-sobno, zgrajeno l. 1902, adaptirano l. 2025, oddamo. Cena: 1.150,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/stara-lj-stanovanje_6937335/
7279337,STARA LJ.,Stanovanje,5 in večsobno,,4000.0,EUR,191.5,1996,4/4,"191,5 m2, 5 in večsobno, zgrajeno l. 1996, adaptirano l. 2011, 4/4 nad., oddamo. Cena: 4.000,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/stara-lj-stanovanje_7279337/
7357056,STARA LJ.,Stanovanje,4-sobno,4.0,3500.0,EUR,223.0,1996,1,"223 m2, 4-sobno, zgrajeno l. 1996, adaptirano l. 2011, 1. nad., oddamo. Cena: 3.500,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/stara-lj-stanovanje_7357056/
7269993,"STARA LJ., ZNIŽANA CENA",Stanovanje,5 in večsobno,,2300.0,EUR,121.3,1900,2,"121,3 m2, 5 in večsobno, zgrajeno l. 1900, adaptirano l. 2017, 2. nad., oddamo. Cena: 2.300,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/stara-lj-znizana-cena-stanovanje_7269993/
7414578,"STARA LOKA, OBROBJE MESTA",Stanovanje,3-sobno,3.0,920.0,EUR,90.0,2009,VP/2,"90 m2, 3-sobno, zgrajeno l. 2009, VP/2 nad., polno opremljeno stanovanje, vključno s pralno/sušilnim, pomivalnim strojem...",https://www.nepremicnine.net/oglasi-oddaja/stara-loka-obrobje-mesta-stanovanje_7414578/
